penalty_team,season,penalty_type,penalty
BAL,2020,Offensive Holding,17.0
BAL,2020,Offensive Pass Interference,1.0
BAL,2020,Roughing the Kicker,1.0
BAL,2020,Roughing the Passer,9.0
BAL,2020,Running Into the Kicker,1.0
BAL,2020,Taunting,1.0
BAL,2020,Tripping,1.0
BAL,2020,Unnecessary Roughness,4.0
BAL,2021,Defensive Holding,6.0
BAL,2021,Defensive Offside,4.0
BAL,2021,Defensive Pass Interference,12.0
BAL,2021,Defensive Too Many Men on Field,3.0
BAL,2021,Delay of Game,8.0
BAL,2021,Face Mask,1.0
BAL,2021,False Start,18.0
BAL,2021,Horse Collar Tackle,1.0
BAL,2021,Illegal Contact,1.0
BAL,2021,Illegal Formation,3.0
BAL,2021,Illegal Shift,2.0
BAL,2021,Ineligible Downfield Pass,1.0
BAL,2021,Intentional Grounding,2.0
BAL,2021,Neutral Zone Infraction,1.0
BAL,2021,Offensive Holding,29.0
BAL,2021,Offensive Pass Interference,1.0
BAL,2021,Offensive Too Many Men on Field,1.0
BAL,2021,Roughing the Passer,4.0
BAL,2021,Unnecessary Roughness,4.0
BAL,2022,Defensive Holding,6.0
BAL,2022,Defensive Offside,1.0
BAL,2022,Defensive Pass Interference,12.0
BAL,2022,Defensive Too Many Men on Field,2.0
BAL,2022,Delay of Game,7.0
BAL,2022,Face Mask,3.0
BAL,2022,False Start,12.0
BAL,2022,Illegal Contact,2.0
BAL,2022,Illegal Formation,1.0
BAL,2022,Illegal Shift,2.0
BAL,2022,Illegal Touch Pass,1.0
BAL,2022,Ineligible Downfield Pass,4.0
BAL,2022,Intentional Grounding,1.0
BAL,2022,Neutral Zone Infraction,3.0
BAL,2022,Offensive Holding,15.0
BAL,2022,Offensive Pass Interference,2.0
BAL,2022,Player Out of Bounds on Kick,1.0
BAL,2022,Roughing the Kicker,1.0
BAL,2022,Roughing the Passer,3.0
BAL,2022,Running Into the Kicker,1.0
BAL,2022,Taunting,1.0
BAL,2022,Unnecessary Roughness,4.0
BAL,2022,Unsportsmanlike Conduct,1.0
BAL,2023,Defensive Delay of Game,1.0
BAL,2023,Defensive Holding,6.0
BAL,2023,Defensive Offside,3.0
BAL,2023,Defensive Pass Interference,12.0
BAL,2023,Defensive Too Many Men on Field,2.0
BAL,2023,Delay of Game,7.0
BAL,2023,Disqualification,1.0
BAL,2023,Face Mask,7.0
BAL,2023,False Start,20.0
BAL,2023,Illegal Block Above the Waist,2.0
BAL,2023,Illegal Contact,3.0
BAL,2023,Illegal Formation,1.0
BAL,2023,Illegal Motion,1.0
BAL,2023,Illegal Shift,1.0
BAL,2023,Illegal Use of Hands,3.0
BAL,2023,Ineligible Downfield Kick,1.0
BAL,2023,Ineligible Downfield Pass,1.0
BAL,2023,Intentional Grounding,4.0
BAL,2023,Neutral Zone Infraction,1.0
BAL,2023,Offensive Holding,18.0
BAL,2023,Offensive Pass Interference,3.0
BAL,2023,Roughing the Passer,6.0
BAL,2023,Running Into the Kicker,1.0
BAL,2023,Taunting,1.0
BAL,2023,Unnecessary Roughness,7.0
BAL,2024,Defensive Delay of Game,1.0
BAL,2024,Defensive Holding,9.0
BAL,2024,Defensive Offside,5.0
BAL,2024,Defensive Pass Interference,16.0
BAL,2024,Defensive Too Many Men on Field,1.0
BAL,2024,Delay of Game,7.0
BAL,2024,Encroachment,1.0
BAL,2024,Face Mask,4.0
BAL,2024,Fair Catch Interference,1.0
BAL,2024,False Start,24.0
BAL,2024,Horse Collar Tackle,1.0
BAL,2024,Illegal Block Above the Waist,2.0
BAL,2024,Illegal Contact,3.0
BAL,2024,Illegal Formation,3.0
BAL,2024,Illegal Forward Pass,1.0
BAL,2024,Illegal Shift,1.0
